Post URL,Prize,Winners
https://x.com/NoBaseism/status/1841486566604132376,2 No-Based NFTs,0x1623c4149B81084a996Cab39B6D36Ab154332f25
https://x.com/NoBaseism/status/1841551197842342228,1 Bucked Blown & 1 No-Punk,0x4686B6B1a1fFcAF1D15ca22240f7f2e37619455E
https://x.com/NoBaseism/status/1841597482775806277,ETH 0.029 & 5 No-Based NFTs,0xDC48cB1812f9B7f7CA52dD27bEbd26Dd8Ff817Df
https://x.com/NoBaseism/status/1841665667977679240,(10x) 1x Timeless Company & 1x No-Based,0x849Fa18589177bbbd194F146A93Fd81c479De4f1:0xaa547deaea05872b7deaf0fdedfa466fc535f112:0x0016eebfe7363092e0489c6e8d15cadea1d6a4ee:0xd3b2cce264fac1de5be4244c1c893300a9a0dcba:0xeDaD60d7021B894AEb57F10DBe964bC959e499Ca:0xf6974306e65D5DaF0731c623A4A915778BE9330b:0x3FCd750c3903359bf29b2a07C969410A1F3154e7:0xeC4aa1e7547DAd784892DF786F82399f855B7329:0x4686B6B1a1fFcAF1D15ca22240f7f2e37619455E:0x0967Cff245A0ADc506652799aaa1cBFe667ffFA2
https://x.com/NoBaseism/status/1841856608265007475,Sweep Contest,0xcb74ad1d8ec8c629678698218ccd7e9f2b55e344:0x1cB827446BC108DB9bF6e01FD44fcbA5b2B5E5a9:0xf01fdecaDAA7553150f913f2de6A6f2AafD9DA29:0x9839c5d8431ce792b9ade2402cb5a413c3a3937d:0x2625b4da309819cB8b5eb8aeE13c86ad0e097Ef6:0xf8ec848C7990071f1d9B8e82d253420F5253a63F:0x05A4713bB0F51b54133173A91b432Fc5a835c71B:0x701C827da2C984930f341d90b7c6Ef270e6669d8:0x02a3Af4eAfFb1881d207B80bF849AA818Fc7eBe1
https://x.com/NoBaseism/status/1842270671201783845,Snipers Contest,0x74eab9a851279be57fc957c1a50d6ea8c5b195ce
https://x.com/NoBaseism/status/1842371505969369540,4x re:generates,@jonknows69:@Ajaxz01:@ahmad522592:@reedin__eth
https://x.com/NoBaseism/status/1842565168762675442,4x No-Neiro,@luis_cardenales:@SH_base_:@r20243:@aliyaindah524
https://x.com/NoBaseism/status/1842749046944874788,2x BasedDickbutts (3 each),@Abdullah_fjri:@lapiandela68227
https://x.com/NoBaseism/status/1843000972022309226,1 No-Based + 1 No-Punks + 1 Bucked Blown,@Fazed_Soju
https://x.com/NoBaseism/status/1843714863685874122,5x Villains by Nev.,@nitingoel1976:@degencubay:@MredulH22943:@Samer95702071:@SnakeEth15
https://x.com/NoBaseism/status/1844434841535680555,1x No-Based,@AirP0o
https://x.com/NoBaseism/status/1845266282859606480,4x Neiro,@ZombifiedCrypto:@NFTs_collector7:@Nftmankill:@Fawazyiwola
https://x.com/NoBaseism/status/1845827557746241983,3x No-Based + 3x MoBA,@Chromospace_eth:@Cryptkino:@Kaelann11:@NFTQM11:@engr_crypt0:@Xenmasss
https://x.com/NoBaseism/status/1846192001105932509,5x Based Bario,@dadaist_nft:@arab_khafagy:@crostaralgo:@CryptoJoselu:@No_name_0M
https://x.com/NoBaseism/status/1847682960297710059,4x Br8tties,@hamoAlsayed707:@SiIentkill:@20MBI02:@loi_yii
https://x.com/NoBaseism/status/1848713976042926508,3x Hoomans,@MohdAya79205087:@Anisaoktavia101:@MOHDUMA61473877
https://x.com/NoBaseism/status/1853872395792044363,1x No-Based (sweep contest),
https://x.com/NoBaseism/status/1853874271606473090,3x Villains,@NFTsColleector:@Marvreum:@9Josthyn
